rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
0.16,235.31,20.36,0.00,36.51,0.56,50.00,33.51
0.15,235.20,19.37,0.00,35.28,0.56,49.98,33.79
0.14,235.26,18.23,0.00,33.52,0.55,49.98,33.51
0.14,235.36,17.75,0.00,32.39,0.55,49.98,33.51
0.14,235.27,18.72,0.00,34.09,0.55,49.98,33.51
0.15,235.37,19.95,0.00,36.16,0.55,49.98,33.51
0.16,235.37,20.68,0.00,37.15,0.56,49.98,34.08
0.15,235.42,19.39,0.00,35.56,0.55,49.99,34.08
0.14,235.42,18.65,0.00,33.93,0.55,49.98,33.79
0.15,235.41,19.47,0.00,34.99,0.55,49.99,34.08
0.15,235.22,19.52,0.00,35.75,0.55,49.99,34.36
0.14,235.42,18.37,0.00,33.62,0.55,50.00,34.36
0.15,235.39,18.87,0.00,34.32,0.55,50.00,34.36
0.14,235.42,18.35,0.00,33.50,0.55,50.01,34.08
0.14,235.38,17.65,0.00,32.31,0.54,50.02,34.65
0.14,235.37,18.63,0.00,34.09,0.55,50.02,34.36
0.14,235.40,18.15,0.00,33.31,0.55,50.03,33.79
0.14,235.46,17.98,0.00,32.59,0.54,50.02,34.65
0.14,235.49,18.53,0.00,33.84,0.55,50.03,34.08
0.14,235.63,17.82,0.00,32.82,0.55,50.02,34.65
0.14,235.83,17.36,0.00,31.86,0.54,50.03,34.36
0.14,235.76,18.36,0.00,33.56,0.55,50.03,34.36
0.14,235.98,17.91,0.00,32.73,0.55,50.02,34.36
0.13,236.04,16.63,0.00,30.99,0.54,50.03,34.65
0.12,236.08,15.60,0.00,28.87,0.53,50.03,34.36
0.13,236.07,16.53,0.00,30.25,0.54,50.03,33.79
0.13,236.05,17.41,0.00,31.69,0.55,50.03,34.36
0.14,234.60,17.39,0.00,31.81,0.55,50.03,34.08
0.13,235.17,16.46,0.00,30.19,0.54,50.03,34.36
0.13,235.04,16.91,0.00,30.98,0.54,50.03,34.36
0.14,234.96,17.31,0.00,31.89,0.55,50.03,34.36
0.13,234.79,16.37,0.00,30.29,0.54,50.02,34.08
0.13,234.81,16.80,0.00,30.69,0.54,50.03,34.65
0.14,234.74,17.53,0.00,31.93,0.55,50.03,34.65
0.13,234.31,16.68,0.00,30.85,0.55,50.03,34.08
0.13,233.86,16.97,0.00,30.62,0.55,50.02,34.36
0.13,233.78,16.99,0.00,30.99,0.55,50.02,34.36
0.13,233.79,16.67,0.00,30.42,0.54,50.02,34.36
0.13,233.61,16.66,0.00,30.38,0.55,50.02,34.36
0.13,233.50,16.60,0.00,30.49,0.55,50.03,34.36
0.12,233.65,15.70,0.00,28.88,0.54,50.02,34.36
0.13,233.71,16.09,0.00,29.47,0.55,50.02,34.65
0.13,233.68,16.60,0.00,30.46,0.55,50.01,34.36
0.12,233.70,15.72,0.00,28.96,0.54,50.01,34.65
0.12,233.66,15.93,0.00,29.00,0.54,50.03,34.36
0.13,233.67,16.48,0.00,30.08,0.54,50.03,34.08
0.12,233.69,15.85,0.00,29.14,0.55,50.03,34.65
0.12,233.77,15.66,0.00,28.69,0.54,50.04,34.65
0.13,233.71,16.42,0.00,30.17,0.54,50.04,34.65
0.13,233.73,15.90,0.00,29.32,0.54,50.03,34.36
0.12,233.60,15.49,0.00,28.75,0.54,50.03,34.65
0.13,233.82,16.42,0.00,29.98,0.54,50.03,34.65
0.13,233.63,15.96,0.00,29.72,0.54,50.02,34.65
0.12,233.50,15.37,0.00,28.48,0.53,50.02,34.65
0.13,233.41,16.09,0.00,29.47,0.54,50.02,34.93
0.13,233.49,16.08,0.00,29.80,0.54,50.01,34.36
0.12,234.23,15.34,0.00,28.38,0.54,50.02,34.93
0.12,234.14,15.30,0.00,28.78,0.54,50.01,34.93
0.12,233.95,15.32,0.00,28.69,0.53,50.01,34.36
0.12,233.86,15.71,0.00,29.23,0.54,50.01,34.65
0.12,233.93,14.85,0.00,27.98,0.53,50.01,34.36
0.12,234.19,15.23,0.00,28.17,0.53,50.01,34.93
0.12,234.31,15.67,0.00,28.95,0.54,50.02,34.65
0.12,234.40,15.15,0.00,28.25,0.54,50.01,34.65
0.12,234.39,14.94,0.00,27.53,0.53,50.01,34.65
0.12,234.39,15.21,0.00,28.32,0.54,50.04,34.65
0.12,234.47,15.23,0.00,28.54,0.54,50.01,34.65
0.12,234.56,15.18,0.00,28.37,0.54,50.01,34.36
0.12,234.57,15.16,0.00,28.45,0.53,50.01,34.65
0.12,234.62,15.11,0.00,28.08,0.53,50.02,34.93
0.12,234.79,15.11,0.00,28.06,0.54,50.02,34.93
0.12,234.78,15.04,0.00,27.97,0.54,50.01,34.36
0.12,234.71,15.19,0.00,28.45,0.54,50.02,35.22
0.12,234.76,15.07,0.00,28.01,0.54,50.01,34.65
0.12,234.47,15.01,0.00,28.34,0.54,50.01,35.22
0.11,234.83,14.20,0.00,26.87,0.53,50.01,35.50
0.11,235.34,14.35,0.00,26.67,0.53,50.00,34.93
0.12,235.39,15.11,0.00,28.01,0.53,50.00,34.65
0.12,235.36,14.91,0.00,27.89,0.54,50.00,34.65
0.11,235.42,14.01,0.00,26.37,0.53,50.00,34.65
0.12,235.37,14.54,0.00,27.44,0.53,50.00,35.22
0.12,235.32,14.88,0.00,27.74,0.54,50.00,34.93
0.12,235.13,14.45,0.00,27.58,0.53,49.99,34.36
0.12,235.19,14.73,0.00,27.35,0.53,50.00,34.65
