rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
0.00,229.74,-0.01,-0.01,0.12,-0.05,50.02,35.79
0.00,229.65,-0.00,0.00,0.12,0.00,50.02,34.93
0.00,229.84,-0.01,-0.01,0.12,0.00,50.02,34.65
0.00,229.80,0.01,0.00,0.12,0.03,50.02,34.65
0.00,229.05,0.00,-0.01,0.12,0.03,50.03,34.65
0.00,229.69,0.00,0.00,0.12,0.00,50.03,35.50
0.00,229.88,-0.00,0.00,0.12,0.03,50.02,34.93
0.00,229.65,0.00,0.00,0.12,-0.03,50.02,34.93
0.00,229.93,-0.00,-0.00,0.12,-0.03,50.02,35.22
0.00,229.49,-0.00,0.00,0.12,0.03,50.02,34.93
0.00,229.57,-0.00,-0.00,0.12,0.00,50.01,34.65
0.00,229.63,-0.00,-0.00,0.12,-0.03,50.01,34.65
0.00,229.69,0.00,-0.01,0.12,0.05,50.00,34.93
0.00,230.02,0.01,-0.01,0.12,0.00,49.99,34.93
0.00,230.04,0.01,-0.00,0.12,0.00,49.99,34.93
0.00,229.78,0.00,0.00,0.12,0.00,49.99,34.93
0.00,230.14,0.00,0.00,0.12,0.00,49.98,35.22
0.00,230.17,0.00,0.00,0.12,-0.03,49.98,35.22
0.00,230.00,0.00,0.00,0.12,0.00,49.97,34.93
0.00,230.13,0.00,0.00,0.12,0.00,49.96,34.93
0.00,230.31,0.00,0.00,0.12,0.00,49.96,35.50
0.00,230.42,0.00,0.00,0.12,0.00,49.97,34.93
0.00,230.10,-0.00,0.00,0.12,0.00,49.97,35.22
0.00,229.60,0.00,0.00,0.12,-0.03,49.98,34.93
0.00,229.82,0.00,-0.01,0.12,0.00,49.98,35.22
0.00,229.35,0.00,-0.01,0.12,0.03,49.98,35.50
0.00,229.23,0.01,-0.00,0.12,-0.03,49.98,35.22
0.00,229.23,-0.01,0.00,0.12,0.00,49.98,35.22
0.00,229.36,-0.00,-0.01,0.12,-0.03,49.97,35.50
0.00,229.42,0.00,-0.01,0.12,-0.03,49.98,34.65
0.00,229.23,-0.01,-0.00,0.12,0.03,49.98,34.93
0.00,229.27,0.00,0.00,0.12,-0.03,49.98,35.22
0.00,228.96,0.00,-0.00,0.12,0.00,49.99,35.22
0.00,228.84,0.00,-0.01,0.12,0.00,49.99,35.79
0.00,229.17,-0.00,0.00,0.12,-0.03,49.99,34.65
0.00,229.35,-0.00,-0.01,0.12,0.00,49.99,34.65
0.00,229.15,-0.00,0.00,0.12,-0.03,49.99,35.79
0.00,229.15,0.00,-0.00,0.12,0.00,50.00,35.22
0.00,229.25,-0.00,-0.00,0.12,0.05,50.00,34.93
0.00,229.46,-0.00,-0.00,0.12,0.00,50.00,35.50
0.00,229.44,0.00,0.00,0.12,0.00,50.00,35.79
0.00,229.26,0.01,-0.01,0.12,0.03,50.00,35.22
0.00,229.66,0.00,-0.01,0.12,-0.03,50.00,35.50
0.00,230.09,0.00,-0.00,0.12,-0.03,50.00,35.79
0.00,230.01,0.00,-0.00,0.12,0.00,50.00,35.22
0.00,230.38,-0.00,-0.01,0.12,0.00,50.00,35.50
0.00,230.63,0.00,0.01,0.12,0.00,50.01,34.93
0.00,230.46,0.00,-0.01,0.12,0.03,50.01,34.65
0.00,230.63,-0.01,-0.01,0.12,-0.03,50.02,35.79
0.00,230.40,-0.00,0.00,0.12,0.03,50.02,34.93
0.00,230.80,-0.00,0.00,0.12,0.05,50.02,34.93
0.00,230.68,0.01,0.00,0.12,0.00,50.03,35.79
0.00,230.64,-0.00,0.00,0.12,-0.03,50.03,34.93
0.00,230.95,0.00,-0.00,0.12,0.03,50.03,35.50
0.00,230.70,-0.01,-0.01,0.12,0.00,50.02,35.50
0.00,230.45,-0.01,-0.01,0.12,-0.05,50.02,34.93
0.00,230.52,-0.00,-0.01,0.12,-0.03,50.02,35.50
0.00,230.32,-0.00,0.00,0.12,0.00,50.01,35.50
0.00,229.74,0.00,-0.01,0.12,0.03,50.02,34.93
0.00,229.77,0.00,-0.00,0.12,0.03,50.01,35.79
0.00,230.01,-0.00,-0.01,0.12,-0.05,50.02,35.50
0.00,230.27,0.00,0.00,0.12,0.05,50.02,35.50
0.00,229.83,0.00,0.00,0.12,0.05,50.02,35.79
0.00,229.91,-0.00,-0.01,0.12,0.05,50.02,35.50
0.00,230.13,-0.00,-0.01,0.12,0.00,50.02,35.22
0.00,229.97,0.01,-0.01,0.12,-0.03,50.02,35.22
0.00,230.28,0.00,0.00,0.12,0.00,50.03,35.50
0.00,230.19,0.00,0.00,0.12,0.03,50.03,34.65
0.00,230.51,0.00,0.00,0.12,0.00,50.03,35.22
0.00,230.24,0.00,-0.01,0.12,-0.05,50.03,35.50
0.00,230.48,0.00,-0.01,0.12,0.05,50.03,35.50
0.00,230.68,-0.00,-0.01,0.12,0.03,50.03,35.22
0.00,230.41,0.00,-0.00,0.12,0.03,50.03,35.22
0.00,230.05,-0.01,0.00,0.12,0.00,50.02,35.50
0.00,230.56,-0.01,0.00,0.12,0.03,50.02,35.22
0.00,230.36,-0.00,0.00,0.12,0.00,50.02,35.50
0.00,230.14,0.01,-0.01,0.12,0.00,50.01,35.79
0.00,230.22,-0.00,-0.01,0.12,0.05,50.01,35.50
0.00,230.28,-0.00,0.00,0.12,0.05,50.01,35.50
0.00,230.48,0.00,-0.00,0.12,0.00,50.00,35.79
0.00,230.38,0.00,-0.00,0.12,0.00,50.00,35.50
0.00,230.42,-0.00,0.00,0.12,0.00,49.99,35.22
0.00,230.56,0.01,-0.01,0.12,0.03,49.99,35.50
0.00,230.29,0.00,0.00,0.12,0.00,49.97,34.65
0.00,230.07,0.00,0.01,0.12,0.03,49.97,35.22
0.00,230.04,0.01,-0.00,0.12,0.03,49.96,35.50
0.00,229.87,0.00,0.00,0.12,0.03,49.96,35.79
0.00,229.75,0.01,-0.00,0.12,0.03,49.95,35.22
0.00,229.80,0.00,0.00,0.12,0.00,49.94,34.93
0.00,229.79,0.01,-0.01,0.12,-0.03,49.94,35.50
0.00,229.95,0.00,0.00,0.12,0.05,49.94,34.93
0.00,229.77,0.00,0.00,0.12,0.03,49.94,35.50
0.00,229.28,-0.00,-0.00,0.12,0.03,49.95,35.22
0.00,229.32,0.00,0.01,0.12,0.05,49.94,35.79
0.00,229.22,0.00,-0.00,0.12,0.00,49.94,35.22
0.00,229.19,-0.01,-0.00,0.12,0.00,49.94,35.50
0.00,229.43,0.00,-0.01,0.12,0.00,49.94,35.79
0.00,229.76,0.00,-0.00,0.12,0.00,49.94,35.50
0.00,229.71,0.00,0.00,0.12,-0.05,49.94,35.50
0.00,229.70,0.00,0.00,0.12,0.03,49.95,35.50
0.00,229.59,0.00,0.00,0.12,-0.03,49.95,35.50
0.00,229.64,0.01,-0.00,0.12,0.00,49.95,34.93
0.00,229.48,0.00,-0.01,0.12,0.00,49.96,34.93
0.00,229.67,-0.00,0.00,0.12,0.00,49.96,35.22
0.00,229.84,0.00,-0.00,0.12,0.00,49.97,35.22
0.00,229.82,0.00,-0.01,0.12,0.03,49.97,35.50
0.00,229.92,-0.02,-0.00,0.12,0.03,49.97,34.93
0.00,229.87,-0.00,0.00,0.12,0.00,49.97,35.79
0.00,230.01,0.00,-0.01,0.12,0.00,49.97,35.50
0.00,229.70,0.01,-0.01,0.12,-0.03,49.98,35.50
0.00,229.51,0.00,0.00,0.12,0.00,49.97,35.22
0.00,229.83,-0.01,-0.00,0.12,-0.05,49.97,35.22
0.00,229.64,-0.01,0.00,0.12,0.05,49.97,34.93
0.00,229.39,0.00,-0.01,0.12,0.05,49.97,35.50
0.00,229.50,0.00,0.00,0.12,0.08,49.96,34.93
0.00,229.59,-0.00,0.00,0.12,0.03,49.96,35.50
0.00,229.64,0.01,-0.00,0.12,0.03,49.96,35.22
0.00,229.72,0.00,0.00,0.12,-0.03,49.96,35.22
0.00,229.79,-0.00,-0.00,0.12,-0.03,49.96,35.22
0.00,229.83,0.00,-0.01,0.12,-0.05,49.96,35.50
0.00,229.71,-0.00,0.00,0.12,0.05,49.96,35.50
0.00,229.62,0.00,-0.00,0.12,0.03,49.96,35.50
0.00,229.29,-0.00,0.00,0.12,0.03,49.96,35.50
0.00,229.38,0.00,0.00,0.12,0.00,49.96,35.50
0.00,229.35,-0.00,0.00,0.12,0.00,49.96,35.79
0.00,229.61,-0.00,-0.00,0.12,0.00,49.97,35.50
0.00,229.61,0.00,-0.00,0.12,0.00,49.97,35.79
0.00,229.61,0.00,-0.01,0.12,0.00,49.98,35.50
0.00,229.40,-0.00,0.00,0.12,-0.03,49.97,35.22
0.00,229.35,0.00,-0.02,0.12,0.00,49.97,35.22
0.00,229.80,-0.00,-0.01,0.12,0.00,49.97,35.79
0.00,229.66,0.00,0.00,0.12,0.05,49.97,35.22
0.00,229.55,0.00,-0.01,0.12,0.00,49.97,34.93
0.00,229.76,-0.00,0.00,0.12,0.03,49.96,34.93
0.00,229.48,0.00,0.00,0.12,-0.03,49.97,35.50
0.00,229.44,-0.00,0.00,0.12,-0.03,49.97,35.79
0.00,229.48,-0.00,0.00,0.12,0.03,49.97,35.50
0.00,229.58,0.00,0.00,0.12,0.03,49.97,34.65
0.00,229.60,0.00,0.00,0.12,0.00,49.97,35.22
0.00,229.59,0.00,0.00,0.12,-0.03,49.96,35.22
0.00,229.43,-0.00,-0.00,0.12,-0.03,49.96,34.93
0.00,229.62,0.00,0.00,0.12,0.03,49.95,35.22
0.00,229.72,0.00,-0.01,0.12,0.03,49.95,34.93
0.00,229.64,0.00,-0.00,0.12,0.03,49.96,35.22
