rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
1.88,230.64,434.49,-0.31,434.56,1.00,49.97,34.93
1.88,230.60,434.31,-0.31,434.48,1.00,49.96,34.36
1.89,230.75,434.94,-0.31,435.01,1.00,49.97,35.22
1.89,230.96,435.86,-0.33,435.77,1.00,49.96,34.65
1.88,230.66,434.77,-0.32,434.71,1.00,49.96,34.65
1.89,231.31,437.09,-0.32,437.09,1.00,49.97,34.93
1.89,231.28,436.97,-0.32,436.94,1.00,49.97,34.93
1.89,231.31,437.33,-0.31,437.14,1.00,49.98,34.65
1.89,231.68,438.57,-0.32,438.47,1.00,49.99,34.65
1.89,231.72,438.53,-0.32,438.65,1.00,50.00,35.22
1.89,231.55,437.82,-0.32,437.99,1.00,50.00,34.93
1.89,231.62,438.22,-0.33,438.24,1.00,50.00,35.50
1.89,231.57,437.87,-0.32,438.02,1.00,50.01,34.93
1.89,231.56,437.94,-0.32,437.94,1.00,50.00,34.65
1.89,231.83,438.96,-0.31,438.91,1.00,50.00,34.65
1.89,231.58,437.90,-0.32,437.90,1.00,50.00,34.93
1.89,231.64,438.12,-0.32,438.12,1.00,50.00,34.93
1.89,231.60,437.78,-0.32,437.91,1.00,50.00,35.22
1.89,231.66,438.17,-0.32,438.17,1.00,50.00,35.50
1.89,231.63,437.91,-0.32,438.03,1.00,50.00,34.93
1.89,231.68,438.23,-0.32,438.19,1.00,49.99,35.50
1.89,231.65,438.07,-0.33,438.07,1.00,49.99,34.93
1.89,231.64,437.91,-0.32,437.97,1.00,49.99,34.93
1.89,231.61,437.70,-0.32,437.84,1.00,49.99,34.65
1.89,231.71,438.06,-0.32,438.18,1.00,49.99,35.22
1.89,231.70,437.98,-0.33,438.10,1.00,49.99,34.93
1.89,231.70,438.02,-0.32,438.15,1.00,50.00,34.93
1.89,231.98,439.21,-0.32,439.13,1.00,50.00,35.50
1.89,232.11,439.60,-0.32,439.59,1.00,50.01,35.50
1.89,232.11,439.53,-0.33,439.55,1.00,50.02,34.65
1.89,232.00,439.15,-0.33,439.10,1.00,50.02,34.93
1.89,232.13,439.49,-0.33,439.54,1.00,50.02,34.93
1.89,232.03,439.12,-0.32,439.12,1.00,50.02,35.50
1.89,232.10,439.21,-0.33,439.39,1.00,50.02,35.50
1.89,232.14,439.58,-0.33,439.49,1.00,50.02,35.22
1.89,232.19,439.57,-0.33,439.66,1.00,50.02,34.93
1.89,232.24,439.86,-0.33,439.80,1.00,50.03,34.93
1.89,232.27,439.89,-0.34,439.88,1.00,50.04,34.93
1.89,232.29,440.06,-0.33,439.93,1.00,50.03,34.36
1.89,232.25,439.55,-0.33,439.73,1.00,50.04,35.22
1.89,232.07,439.04,-0.33,439.04,1.00,50.03,34.65
1.89,232.27,439.65,-0.33,439.75,1.00,50.04,35.22
1.89,232.32,439.82,-0.32,439.89,1.00,50.04,34.65
1.89,232.25,439.63,-0.33,439.57,1.00,50.04,34.93
1.89,232.33,440.04,-0.33,439.85,1.00,50.04,35.22
1.89,232.37,440.04,-0.33,439.96,1.00,50.03,35.22
1.89,232.29,439.61,-0.33,439.60,1.00,50.03,35.50
1.89,232.41,440.05,-0.33,440.02,1.00,50.04,35.50
1.89,232.54,440.36,-0.33,440.48,1.00,50.04,34.93
1.89,232.43,439.96,-0.33,440.01,1.00,50.04,34.93
1.89,232.47,439.85,-0.34,440.07,1.00,50.04,35.79
1.89,232.16,438.80,-0.33,438.88,1.00,50.04,35.22
1.89,232.14,438.72,-0.34,438.73,1.00,50.05,34.93
1.89,232.22,439.00,-0.33,438.99,1.00,50.04,34.93
1.89,232.06,438.06,-0.33,438.35,1.00,50.04,35.50
1.89,232.36,439.43,-0.34,439.40,1.00,50.05,34.65
1.89,232.37,439.66,-0.34,439.40,1.00,50.04,35.50
1.89,232.04,438.14,-0.33,438.11,1.00,50.04,34.65
1.89,232.08,438.24,-0.33,438.21,1.00,50.04,35.22
1.89,231.76,436.83,-0.33,436.92,1.00,50.03,34.93
1.88,231.63,436.41,-0.33,436.38,1.00,50.03,35.22
1.88,231.55,435.91,-0.34,435.99,1.00,50.02,34.93
1.88,231.60,436.13,-0.34,436.11,1.00,50.02,35.22
1.88,231.78,436.81,-0.34,436.75,1.00,50.02,34.65
1.88,231.75,436.65,-0.34,436.58,1.00,50.02,34.93
1.88,231.67,436.31,-0.34,436.19,1.00,50.01,35.22
1.88,231.63,436.04,-0.34,436.01,1.00,50.02,34.93
1.88,231.60,435.88,-0.33,435.82,1.00,50.01,35.50
1.88,231.42,435.29,-0.34,435.11,1.00,50.01,35.22
1.88,231.47,435.38,-0.34,435.24,1.00,50.00,34.65
1.88,231.51,435.37,-0.33,435.31,1.00,50.00,34.93
1.88,231.46,435.42,-0.33,435.10,1.00,50.00,35.50
1.88,231.49,435.11,-0.34,435.13,1.00,49.99,34.93
1.88,231.49,435.10,-0.33,435.09,1.00,50.00,35.50
1.88,231.74,436.04,-0.33,435.99,1.00,50.00,35.50
1.88,231.61,435.46,-0.34,435.43,1.00,50.00,34.93
1.88,231.49,435.23,-0.34,434.93,1.00,49.99,35.22
1.88,231.58,435.20,-0.34,435.17,1.00,49.99,35.22
1.88,231.58,435.21,-0.34,435.16,1.00,49.99,35.50
1.88,231.95,436.43,-0.34,436.49,1.00,49.99,34.93
1.88,231.91,436.20,-0.34,436.28,1.00,50.00,35.22
1.88,231.66,435.31,-0.33,435.30,1.00,49.99,34.65
1.88,231.66,435.16,-0.35,435.23,1.00,50.00,35.22
1.88,232.01,436.37,-0.34,436.50,1.00,49.99,34.65
1.88,231.93,436.12,-0.35,436.11,1.00,49.99,35.50
1.88,231.89,435.74,-0.34,435.93,1.00,49.98,35.50
1.88,231.74,435.26,-0.35,435.27,1.00,49.98,34.93
1.88,231.90,435.82,-0.34,435.80,1.00,49.98,34.65
1.88,231.84,435.48,-0.34,435.54,1.00,49.98,34.65
1.88,231.99,436.05,-0.34,436.03,1.00,49.98,35.50
1.88,231.94,435.84,-0.35,435.80,1.00,49.99,34.93
1.88,231.77,434.79,-0.34,435.10,1.00,49.98,34.93
1.87,231.45,433.83,-0.34,433.83,1.00,49.98,34.93
1.87,231.51,434.02,-0.35,434.08,1.00,49.98,34.93
1.88,231.68,434.55,-0.35,434.64,1.00,49.98,34.65
1.88,231.61,434.28,-0.35,434.29,1.00,49.98,34.65
1.87,231.57,433.97,-0.35,434.11,1.00,49.97,35.50
1.87,230.88,430.88,-0.35,431.48,1.00,49.97,34.93
1.88,231.90,435.14,-0.35,435.21,1.00,49.98,34.93
1.88,231.94,435.70,-0.35,435.61,1.00,49.98,35.22
1.88,231.92,435.42,-0.35,435.37,1.00,49.98,34.93
1.88,231.79,434.77,-0.35,434.84,1.00,49.99,34.93
1.88,231.76,434.73,-0.35,434.70,1.00,49.99,35.50
1.87,231.71,434.53,-0.35,434.44,1.00,49.99,34.65
1.87,231.60,433.99,-0.35,434.01,1.00,50.00,35.50
1.87,231.62,434.04,-0.35,434.02,1.00,50.00,35.22
1.87,231.50,433.56,-0.36,433.51,1.00,50.01,35.22
1.87,231.65,434.08,-0.36,434.03,1.00,50.00,34.93
1.87,230.94,431.37,-0.35,431.35,1.00,50.01,34.93
1.87,230.88,431.14,-0.35,431.10,1.00,50.01,35.22
1.87,230.81,430.92,-0.36,430.82,1.00,50.02,34.93
1.87,230.98,431.47,-0.35,431.34,1.00,50.01,34.65
1.87,230.87,430.90,-0.35,430.90,1.00,50.01,34.93
1.87,231.02,431.25,-0.35,431.41,1.00,50.00,35.22
1.87,230.94,431.13,-0.35,431.04,1.00,50.01,35.22
1.87,230.98,431.22,-0.35,431.14,1.00,50.02,34.93
1.86,230.79,430.20,-0.35,430.38,1.00,50.01,34.65
1.87,230.87,430.60,-0.35,430.63,1.00,50.02,34.93
1.86,230.65,429.80,-0.35,429.75,1.00,50.01,35.22
1.86,230.62,429.60,-0.35,429.62,1.00,50.01,35.50
1.86,230.57,429.36,-0.35,429.40,1.00,50.01,35.22
1.86,230.60,429.30,-0.35,429.42,1.00,50.01,34.65
