rmscurrent,rmsvoltage,activepower,reactivepower,apparentpower,powerfactor,frequency,temperature
0.00,236.15,0.22,-0.00,0.25,0.84,49.97,35.50
0.00,236.07,0.21,-0.00,0.25,0.86,49.97,35.22
0.00,235.87,0.21,-0.00,0.25,0.86,49.97,35.22
0.00,235.94,0.22,0.00,0.25,0.86,49.97,34.93
0.00,235.93,0.21,-0.00,0.25,0.85,49.97,34.65
0.00,236.11,0.22,0.00,0.25,0.85,49.98,34.65
0.00,235.86,0.20,-0.00,0.24,0.87,49.98,35.22
0.00,235.98,0.21,0.00,0.25,0.88,49.98,35.50
0.00,236.02,0.21,0.00,0.25,0.85,49.99,34.65
0.00,235.90,0.21,-0.00,0.25,0.86,49.99,35.22
0.00,235.80,0.22,-0.00,0.25,0.86,49.99,34.65
0.00,235.27,0.21,-0.00,0.25,0.85,50.00,35.79
0.00,235.27,0.22,-0.01,0.25,0.85,49.99,35.22
0.00,234.90,0.21,-0.01,0.25,0.87,49.99,35.22
0.00,234.90,0.21,-0.01,0.25,0.85,49.99,35.50
0.00,234.74,0.21,-0.01,0.25,0.87,49.98,35.79
0.00,234.80,0.20,0.00,0.25,0.87,49.98,35.22
0.00,235.09,0.21,-0.00,0.24,0.86,49.99,35.22
0.00,234.96,0.20,-0.00,0.25,0.85,49.98,35.22
0.00,234.69,0.21,-0.01,0.25,0.85,49.99,34.93
0.00,234.75,0.21,-0.00,0.25,0.88,49.98,35.50
0.00,234.31,0.22,-0.01,0.24,0.87,49.98,34.93
0.00,234.10,0.22,-0.01,0.24,0.85,49.99,35.50
0.00,234.28,0.21,-0.00,0.24,0.85,49.99,35.22
0.00,234.27,0.21,0.00,0.24,0.87,49.98,35.22
0.00,234.14,0.21,-0.01,0.24,0.86,49.98,34.93
0.00,234.30,0.21,0.00,0.24,0.85,50.00,34.93
0.00,234.28,0.21,-0.00,0.24,0.86,50.00,34.65
0.00,234.40,0.21,-0.01,0.25,0.87,50.00,35.22
0.00,234.47,0.22,0.00,0.25,0.86,50.02,34.65
0.00,234.77,0.21,-0.00,0.25,0.85,50.02,34.93
0.00,234.80,0.22,-0.01,0.25,0.87,50.05,35.22
0.00,234.85,0.21,-0.00,0.25,0.87,50.03,34.93
0.00,234.39,0.21,0.00,0.25,0.84,50.03,34.93
0.00,234.37,0.21,0.00,0.24,0.87,50.03,35.50
0.00,234.30,0.21,-0.01,0.24,0.88,50.01,34.93
0.00,234.23,0.21,-0.00,0.24,0.87,50.02,34.65
0.00,234.14,0.21,-0.00,0.24,0.87,50.01,34.93
0.00,234.07,0.21,-0.01,0.24,0.89,50.02,35.22
0.00,234.06,0.21,-0.00,0.24,0.85,50.01,34.93
0.00,234.21,0.20,-0.01,0.24,0.86,50.01,34.93
0.00,234.30,0.21,-0.01,0.24,0.87,50.03,34.93
0.00,234.58,0.21,-0.01,0.26,0.88,50.03,34.65
0.00,234.60,0.21,-0.00,0.25,0.86,50.03,35.22
0.00,234.70,0.22,-0.01,0.25,0.85,50.03,34.93
0.00,234.55,0.22,-0.00,0.25,0.87,50.04,34.93
0.00,234.54,0.21,-0.00,0.25,0.87,50.04,34.65
0.00,234.80,0.22,0.00,0.26,0.88,50.05,35.79
0.00,234.83,0.22,-0.00,0.25,0.84,50.06,35.22
0.00,234.74,0.22,0.00,0.25,0.85,50.05,35.50
0.00,234.76,0.21,-0.00,0.25,0.85,50.05,34.65
0.00,234.69,0.21,-0.01,0.25,0.88,50.04,34.93
0.00,234.59,0.21,-0.01,0.25,0.85,50.04,35.79
0.00,234.51,0.21,-0.00,0.25,0.87,50.05,35.22
0.00,234.50,0.22,-0.00,0.25,0.88,50.04,34.36
0.00,234.40,0.21,0.00,0.25,0.89,50.03,34.65
0.00,234.40,0.21,0.00,0.25,0.88,50.03,34.93
0.00,234.38,0.21,0.00,0.25,0.87,50.03,34.93
0.00,234.48,0.21,0.00,0.25,0.88,50.02,35.50
0.00,234.46,0.21,-0.00,0.25,0.85,50.01,34.65
0.00,234.46,0.21,-0.00,0.26,0.87,50.01,34.65
0.00,234.68,0.22,0.00,0.26,0.85,50.01,34.65
0.00,234.05,0.21,-0.01,0.24,0.85,50.01,34.93
0.00,234.19,0.21,-0.01,0.26,0.87,50.00,35.22
0.00,234.19,0.21,0.00,0.25,0.84,49.99,34.93
0.00,234.09,0.21,0.00,0.24,0.85,50.00,34.93
0.00,234.07,0.21,0.00,0.25,0.89,49.99,34.93
0.00,234.05,0.21,-0.01,0.24,0.84,49.99,35.22
,49.99,35.22
0.00,234.03,0.21,-0.00,0.24,0.89,50.00,34.65
0.00,234.02,0.21,-0.00,0.24,0.86,50.00,35.22
0.00,234.03,0.21,-0.01,0.24,0.86,49.99,34.65
0.00,233.71,0.21,-0.00,0.26,0.85,50.00,35.50
0.00,233.69,0.21,-0.01,0.24,0.87,50.00,34.93
0.00,233.80,0.21,-0.00,0.24,0.87,50.00,34.93
0.00,233.74,0.21,-0.01,0.24,0.85,50.00,34.65
0.00,233.67,0.21,-0.00,0.24,0.86,50.00,34.93
0.00,233.67,0.22,-0.01,0.26,0.86,50.00,35.50
0.00,233.57,0.21,0.00,0.24,0.86,50.00,35.50
0.00,233.61,0.21,-0.00,0.24,0.87,49.99,35.22
0.00,233.56,0.21,0.00,0.24,0.86,50.00,35.22
